电影名称,导演,编剧,主演,类型,制片国家/地区,语言,上映日期,片长,又名,IMDb,评分,评分人数,domestic_boxoffice,international_boxoffice,worldwide_boxoffice
何以为家 كفرناحوم,娜丁·拉巴基,娜丁·拉巴基/吉哈德·霍加里/米歇尔·凯斯沃尼/乔治斯·哈巴兹/哈立德·穆扎纳,赞恩·阿尔·拉菲亚/约丹诺斯·希费罗/博鲁瓦蒂夫·特雷杰·班科尔/卡萨尔·艾尔·哈达德/法迪·尤瑟夫/海塔·塞德拉·伊扎姆/阿拉·乔什涅/娜丁·拉巴基/埃利亚斯·库利/努尔·艾尔·侯赛尼,剧情,黎巴嫩/美国/法国/塞浦路斯/卡塔尔/英国,阿拉伯语/阿姆哈拉语,2019-04-29(中国大陆)/2018-05-17(戛纳电影节)/2018-09-20(黎巴嫩),126分钟/117分钟(中国大陆),迦百农/星仔打官司(港)/我想有个家(台)/Cafarnaúm/Capernaum/Capharnaüm,tt8267604,9.1,884411,"$1,661,096","$62,755,907","$64,417,003"
素媛 소원,李濬益,金智慧/曹重勋/金成旭,薛景求/严志媛/李来/金海淑/金相浩/罗美兰/杨真诚/权泰元,剧情,韩国,韩语,2013-10-02(韩国),122分钟,许愿/希望：为爱重生(台)/So-won/Hope,tt3153634,9.3,579505,None,None,None
飞屋环游记 Up,彼特·道格特/鲍勃·彼德森,彼特·道格特/鲍勃·彼德森/汤姆·麦卡锡,爱德华·阿斯纳/克里斯托弗·普卢默/乔丹·长井/鲍勃·彼德森/德尔罗伊·林多/杰罗姆·兰福特/约翰·拉岑贝格/大卫·卡耶/艾丽·道克特/杰里米·利里/米凯·麦高万/丹尼·曼恩/唐纳德·富利洛夫/杰斯·哈梅尔/乔什·库雷/彼特·道格特,剧情/喜剧/动画/冒险,美国,英语,2009-08-04(中国大陆)/2009-05-13(戛纳电影节)/2009-05-29(美国),96分钟,冲天救兵(港)/天外奇迹(台)/飞屋历险记,tt1049413,9.1,1149771,"$293,004,164","$442,094,938","$735,099,102"
摔跤吧！爸爸 Dangal,涅提·蒂瓦里,比于什·古普塔/施热亚·简/尼基尔·麦罗特拉/涅提·蒂瓦里,阿米尔·汗/法缇玛·萨那·纱卡/桑亚·玛荷塔/阿帕尔夏克提·库拉那/沙克希·坦沃/塞伊拉·沃西/苏哈妮·巴特纳格尔/里特维克·萨霍里/吉里什·库卡尼,剧情/家庭/传记/运动,印度,印地语/英语,2017-05-05(中国大陆)/2016-12-23(印度),161分钟(印度)/140分钟(中国大陆),我和我的冠军女儿(台)/打死不离3父女(港)/摔跤吧！老爸/摔跤家族/दंगल/WrestlingCompetition,tt5074352,9.0,1364176,"$12,391,761","$291,331,875","$303,723,636"
十二怒汉 12 Angry Men,西德尼·吕美特,雷金纳德·罗斯,亨利·方达/马丁·鲍尔萨姆/约翰·菲德勒/李·科布/E.G.马绍尔/杰克·克卢格曼/爱德华·宾斯/杰克·瓦尔登/约瑟夫·史威尼/埃德·贝格利/乔治·沃斯科维奇/罗伯特·韦伯,剧情,美国,英语,1957-04-13(美国),96分钟,12怒汉,tt0050083,9.4,403544,None,$955,$955
哈尔的移动城堡 ハウルの動く城,宫崎骏,宫崎骏/黛安娜·温恩·琼斯,倍赏千惠子/木村拓哉/美轮明宏/我修院达也/神木隆之介/伊崎充则/大泉洋/大塚明夫/原田大二郎/加藤治子/都筑香弥子,动画/奇幻/冒险,日本,日语,2004-09-05(威尼斯电影节)/2004-11-20(日本),119分钟,哈尔移动城堡(港)/霍尔的移动城堡(台)/呼啸山城/豪尔的机动城堡/Howl'sMovingCastle/Haurunougokushiro,tt0347149,9.1,864744,"$5,576,743","$230,637,703","$236,214,446"
我不是药神,文牧野,韩家女/钟伟/文牧野,徐峥/王传君/周一围/谭卓/章宇/杨新鸣/王佳佳/王砚辉/贾晨飞/龚蓓苾/宁浩/李乃文/岳小军/苇青/富冠铭/巴拉特·巴蒂/喜利图/张海艳/朱耕佑,剧情/喜剧,中国大陆,汉语普通话/英语/上海话/印地语,2018-07-05(中国大陆)/2018-06-30(大规模点映),117分钟,中国药神/印度药神/印度药商/生命之路/DyingtoSurvive/DrugDealer,tt7362036,9.0,1815044,"$6,752","$451,176,639","$451,183,391"
少年派的奇幻漂流 Life of Pi,李安,扬·马特尔/大卫·麦基,苏拉·沙玛/伊尔凡·可汗/拉菲·斯波/阿迪勒·侯赛因/塔布/阿尤什·坦东/加塔姆·贝鲁尔/阿彦·汗/穆德·阿巴斯·卡勒里/维比什·希瓦库玛/热拉尔·德帕迪约/詹姆斯·塞托/俊·奈托/安德里亚·迪·斯戴法诺/沙拉万提·塞纳特/王柏杰/柯一正/黄健玮,剧情/奇幻/冒险,美国/中国台湾/英国/加拿大,英语/泰米尔语/法语/日语/印地语/汉语普通话,2012-11-22(中国大陆)/2012-09-28(纽约电影节)/2012-11-21(美国),127分钟,少年Pi的奇幻漂流/漂流少年Pi,tt0454876,9.1,1191698,"$124,987,023","$484,029,542","$609,016,565"
鬼子来了,姜文,姜文/史建全/述平/尤凤伟,姜文/香川照之/袁丁/姜宏波/丛志军/李丛喜/泽田谦也/李海滨/蔡卫东/陈述/陈莲梅/史建全/陈强/宫路佳具/吴大维/梶冈润一/石山雄大/述平/姜武,剧情/喜剧,中国大陆,汉语普通话/日语/唐山话,2000-05-12(戛纳电影节)/2002-04-27(日本),139分钟/162分钟(戛纳电影节),DevilsontheDoorstep,tt0245929,9.3,533771,"$18,944",None,"$18,944"
大话西游之月光宝盒 西遊記第壹佰零壹回之月光寶盒,刘镇伟,刘镇伟/吴承恩,周星驰/吴孟达/罗家英/蓝洁瑛/莫文蔚/江约诚/陆树铭/刘镇伟/朱茵/李健仁,喜剧/爱情/奇幻/古装,中国香港/中国大陆,粤语/汉语普通话,2014-10-24(中国大陆)/1995-01-21(中国香港),87分钟,西游记101回月光宝盒/齐天大圣东游记/大话东游之一/AChineseOdysseyPartOne-Pandora'sBox,tt0112778,9.0,1061453,None,"$1,499,696","$1,499,696"
天空之城 天空の城ラピュタ,宫崎骏,宫崎骏,田中真弓/横泽启子/初井言荣/寺田农/常田富士男/永井一郎/糸博/鹫尾真知子/神山卓三/安原义人/槐柳二/鳕子,动画/奇幻/冒险,日本,日语,1992-05-01(中国大陆)/1986-08-02(日本),125分钟,TenkûnoshiroRapyuta/Laputa,tt0092067,9.1,718464,"$523,664","$5,593,374","$6,117,038"
天堂电影院 Nuovo Cinema Paradiso,朱塞佩·托纳多雷,朱塞佩·托纳多雷/瓦娜·波利,菲利普·努瓦雷/雅克·贝汉/马克·莱昂纳蒂/萨瓦特利·卡西欧/莱奥波多·特里耶斯泰/安东内拉·阿蒂利/恩佐·卡拉瓦勒/艾萨·丹尼埃利/里奥·故罗塔/普佩拉·玛奇奥/阿格妮丝·那诺/塔诺·希玛罗萨/尼古拉·迪·平托/罗伯塔·蕾娜/尼诺·戴罗佐/玛丽娜·朱迪切/比阿特丽斯·帕姆/布丽吉特·佛西/朱塞佩·托纳多雷,剧情/爱情,意大利/法国,意大利语,2021-06-11(中国大陆)/1988-11-17(意大利),155分钟/173分钟(导演剪辑版)/123分钟(剧场版)/124分钟(中国大陆),星光伴我心(港)/新天堂乐园(台)/CinemaParadiso,tt0095765,9.2,593336,"$12,397,210","$621,853","$13,019,063"
猫鼠游戏 Catch Me If You Can,史蒂文·斯皮尔伯格,杰夫·内桑森,莱昂纳多·迪卡普里奥/汤姆·汉克斯/克里斯托弗·沃肯/马丁·辛/艾米·亚当斯/詹妮弗·加纳/伊丽莎白·班克斯/纳塔莉·贝伊/詹姆斯·布洛林/艾伦·旁派/南希·利内翰/布莱恩·豪威/弗兰克·约翰·休斯/克里斯·埃里斯,剧情/传记/犯罪,美国/加拿大,英语/法语,2003-04-11(中国大陆)/2002-12-16(洛杉矶首映)/2002-12-25(美国),141分钟,逍遥法外/捉智双雄(港)/神鬼交锋(台)/我知道你是谁/有种来抓我,tt0264464,9.1,801917,"$164,615,351","$187,498,961","$352,114,312"
闻香识女人 Scent of a Woman,马丁·布莱斯特,博·古德曼/乔瓦尼·阿尔皮诺,阿尔·帕西诺/克里斯·奥唐纳/詹姆斯·瑞布霍恩/加布里埃尔·安瓦尔/菲利普·塞默·霍夫曼/理查德·文彻/布莱德利·惠特福德/罗谢尔·奥利弗/MargaretEginton/TomRiisFarrell/NicholasSadler/托德·路易斯/马特·史密斯/吉恩·坎菲尔德/弗兰西丝·康罗伊,剧情,美国,英语,1992-12-23(美国),157分钟,女人香/女人的芳香,tt0105323,9.1,745639,"$63,095,253","$71,000,000","$134,095,253"
指环王2：双塔奇兵 The Lord of the Rings: The Two Towers,彼得·杰克逊,弗兰·威尔士/菲利帕·鲍恩斯/斯蒂芬·辛克莱/彼得·杰克逊/J.R.R.托尔金,伊利亚·伍德/西恩·奥斯汀/多米尼克·莫纳汉/奥兰多·布鲁姆/维果·莫腾森/伊恩·麦克莱恩/凯特·布兰切特/比利·博伊德/杰德·布罗菲/丽芙·泰勒/安迪·瑟金斯/米兰达·奥图/雨果·维文/布拉德·道里夫/卡卢姆·吉廷斯/伯纳德·希尔/布鲁斯·霍普金斯/克里斯托弗·李/纳撒尼尔·利斯/罗宾·马尔科姆/约翰·贝西/萨拉·贝克/克雷格·帕克/布鲁斯·菲利普斯/RobertPollock/约翰·瑞斯-戴维斯/奥利维亚·田內/卡尔·厄本/史蒂芬·乌瑞/大卫·文翰/菲利普·格里夫/肖恩·宾/约翰·诺贝尔/JarlBenzon/JørnBenzon/BenBritton/阿利斯泰尔·布朗宁/SeanButton/RobertCatto/罗德尼·库克/卡尔洛斯·德林克沃特/西奥沙福瓦/本·弗兰舍姆/JonathanHarding/LucasHayward/丹·汉纳/保罗·霍姆斯/杰森霍德/彼得·杰克逊/SamKelly/SandroKopp,剧情/动作/奇幻/冒险,美国/新西兰,英语/辛达林语/古代英语,2003-04-25(中国大陆)/2021-04-23(中国大陆重映)/2002-12-05(纽约首映)/2002-12-18(美国),180分钟/223分钟(加长版)/235分钟(蓝光加长版),魔戒二部曲：双城奇谋/指环王II：双塔/魔戒2：双塔奇谋,tt0167261,9.2,643469,"$342,551,365","$604,943,730","$947,495,095"
罗马假日 Roman Holiday,威廉·惠勒,伊安·麦克莱伦·亨特/约翰·戴顿/达尔顿·特朗勃,奥黛丽·赫本/格利高里·派克/埃迪·艾伯特/哈特利·鲍尔/哈考特·威廉姆斯/玛格丽特·罗林斯/托里奥·卡米纳提/保罗·卡利尼/克劳迪奥·埃尔梅利/保拉·布鲁布尼/里佐·弗雷多里佐,剧情/喜剧/爱情,美国,英语/意大利语/德语,1953-08-20(威尼斯电影节)/1953-09-02(美国),118分钟,金枝玉叶(港)/罗马假期(台),tt0046250,9.1,836318,None,None,None
钢琴家 The Pianist,罗曼·波兰斯基,罗纳德·哈伍德,艾德里安·布洛迪/托马斯·克莱舒曼/艾米莉娅·福克斯/米哈乌·热布罗夫斯基/埃德·斯托帕德/穆琳·利普曼/弗兰克·芬莱/茱莉亚·蕾娜/杰西卡·凯特·梅耶尔/理查德·赖丁斯,剧情/音乐/传记/战争,英国/法国/波兰/德国,英语/德语/俄语,2002-05-24(戛纳电影节)/2002-09-25(法国),150分钟,钢琴战曲(港)/战地琴人(台)/战地琴声/钢琴师,tt0253474,9.2,494909,"$32,572,577","$87,500,000","$120,072,577"
让子弹飞,姜文,朱苏进/述平/姜文/郭俊立/危笑/李不空/马识途,姜文/葛优/周润发/刘嘉玲/陈坤/张默/姜武/周韵/廖凡/姚橹/邵兵/苗圃/冯小刚/胡军/马珂/白冰/杜奕衡/李静/胡明/危笑/杨奇雨/赵铭,剧情/喜剧/动作/西部,中国大陆/中国香港,汉语普通话/四川话/山西话,2010-12-16(中国大陆),132分钟,让子弹飞一会儿/火烧云/LetTheBulletsFly,tt1533117,8.9,1426267,"$63,012","$104,668,438","$104,731,450"
指环王1：护戒使者 The Lord of the Rings: The Fellowship of the Ring,彼得·杰克逊,弗兰·威尔士/菲利帕·鲍恩斯/彼得·杰克逊/J.R.R.托尔金,伊利亚·伍德/西恩·奥斯汀/伊恩·麦克莱恩/维果·莫腾森/奥兰多·布鲁姆/多米尼克·莫纳汉/比利·博伊德/克里斯托弗·李/马尔顿·索克斯/梅根·爱德华兹/伊安·霍姆/凯特·布兰切特/阿兰·霍华德/马克·弗格森/肖恩·宾/萨拉·贝克/劳伦斯·马克奥雷/安迪·瑟金斯/彼得·麦肯齐/伊恩·穆内/克雷格·帕克/卡梅隆·罗德/约翰·瑞斯-戴维斯/丽芙·泰勒/大卫·韦瑟莱/雨果·维文/菲利普·格里夫/威廉·约翰逊/伊丽莎白·穆迪/布莱恩·瑟金特/杰德·布罗菲/诺曼·凯茨/兰德尔·威廉·库克/萨比恩·克洛森/西奥沙福瓦/本·弗兰舍姆/彼得·杰克逊/艾伦·李,剧情/动作/奇幻/冒险,新西兰/美国,英语/辛达林语,2002-04-04(中国大陆)/2021-04-16(中国大陆重映)/2001-12-19(美国),179分钟/208分钟(加长版)/228分钟(蓝光加长版),指环王1：魔戒再现/指环王I：护戒使者/魔戒首部曲：魔戒现身/魔戒1：护戒联盟,tt0120737,9.1,729798,"$315,710,750","$581,979,322","$897,690,072"
辩护人 변호인,杨宇硕,杨宇硕/尹贤浩,宋康昊/金英爱/吴达洙/郭度沅/任时完/宋永彰/郑元中/赵敏基/李杭娜/李星民/车光洙/韩基重/沈熙燮/赵莞基/李姃垠,剧情,韩国,韩语,2013-12-18(韩国),127分钟,逆权大状(港)/正义辩护人(台)/TheAttorney,tt3404140,9.2,518589,"$557,236","$77,990,350","$78,547,586"
大闹天宫,万籁鸣,李克弱/万籁鸣,邱岳峰/富润生/毕克/尚华/于鼎/李梓/刘广宁,剧情/动画/奇幻/古装,中国大陆,汉语普通话,1961(中国大陆)/1964(中国大陆)/1978(中国大陆),113分钟/44分钟(上集)/69分钟(下集)/84分钟(40周年纪念版),大闹天宫上下集/TheMonkeyKing/HavocinHeaven/UproarinHeaven,tt0059855,9.4,362059,None,None,None
教父2 The Godfather: Part Ⅱ,弗朗西斯·福特·科波拉,弗朗西斯·福特·科波拉/马里奥·普佐,阿尔·帕西诺/罗伯特·杜瓦尔/黛安·基顿/罗伯特·德尼罗/约翰·凯泽尔/塔莉娅·夏尔/李·斯特拉斯伯格/迈克尔·V·格佐/G•D•斯普拉德林/理查德·布赖特/加斯通·莫辛/汤姆·罗斯奎/布鲁诺·柯比/弗兰克·西维罗/弗朗西丝卡·德·萨维奥/摩甘娜金/玛丽亚娜·希尔/莱奥波多·特里耶斯泰/多米尼克·查尼斯/AmerigoTot/特洛伊·多纳胡/约翰·阿普雷亚/乔·斯皮内尔/阿贝·维高达/吉亚尼·罗素/MariaCarta/菲伊·斯潘/哈利·戴恩·斯坦通/卡明·卡里迪/丹尼·爱罗/威廉·鲍尔斯/约瑟夫·德拉·索尔特/卡门·阿尔根齐亚诺/乔·罗·格里普/EzioFlagello/凯瑟琳·贝勒/SaveriaMazzola/TitoAlba/彼得·多纳特/汤姆·达尔格伦/PhilFeldman/罗杰·科曼/伊凡·科尔/艾丽卡·约恩/TeresaTirelli/詹姆斯·肯恩/ItaliaCoppola/罗曼·科波拉/索菲亚·科波拉/朱莉·格雷格/GeorgeHolmes/BuckHoughton/ShepHoughton/小杉正一/加里·库尔茨/LauraLyons/理查德·麦瑟森/约翰·梅根纳/HarrisonRessler/AlRoberts/HankRobinson/FilomenaSpagnuolo,剧情/犯罪,美国,英语/意大利语/西班牙语/拉丁语/西西里语,1974-12-12(纽约首映)/1974-12-20(美国),202分钟,教父续集(港)/教父II,tt0071562,9.2,459114,"$47,834,595","$201,188","$48,035,783"
狮子王 The Lion King,罗杰·阿勒斯/罗伯·明可夫,艾琳·梅琪/乔纳森·罗伯特/琳达·伍尔芙顿,乔纳森·泰勒·托马斯/马修·布罗德里克/杰瑞米·艾恩斯/詹姆斯·厄尔·琼斯/莫伊拉·凯利/内森·连恩/尼基塔·卡兰姆/埃林·萨贝拉/乌比·戈德堡/罗温·艾金森,动画/歌舞/冒险,美国,英语/斯瓦希里语/科萨语/祖鲁语,1995-07-15(中国大陆)/1994-06-15(美国)/2011-09-16(美国),89分钟,狮子王3D,tt0110357,9.1,715200,"$422,783,777","$640,828,028","$1,063,611,805"
死亡诗社 Dead Poets Society,彼得·威尔,汤姆·舒尔曼,罗宾·威廉姆斯/罗伯特·肖恩·莱纳德/伊桑·霍克/乔西·查尔斯/盖尔·汉森/迪伦·库斯曼/阿勒隆·鲁杰罗/詹姆斯·沃特斯顿/诺曼·劳埃德/柯特伍德·史密斯/卡拉·贝尔韦尔/利昂·波纳尔/乔治·马丁/乔·奥菲耶里/马特·凯里/凯文·库尼/拉腊·弗林·鲍尔/亚历桑德拉·鲍尔斯/梅洛拉·沃尔特斯/帕梅拉·伯勒尔/约翰·库宁汉姆/迪布拉·穆尼/库尔特·莱特纳/凯瑟·斯内德/霍纳斯·斯蒂克洛瑞斯/杰米·肯尼迪,剧情,美国,英语/拉丁语,1989-06-02(多伦多首映)/1989-06-09(美国),128分钟,暴雨骄阳(港)/春风化雨(台)/壮志骄阳,tt0097165,9.1,602468,"$95,860,116","$140,000,000","$235,860,116"
黑客帝国 The Matrix,莉莉·沃卓斯基/拉娜·沃卓斯基,莉莉·沃卓斯基/拉娜·沃卓斯基,基努·里维斯/劳伦斯·菲什伯恩/凯瑞-安·莫斯/雨果·维文/格洛丽亚·福斯特/乔·潘托里亚诺/马库斯·钟/朱利安·阿拉汗加/马特·多兰/贝琳达·麦克洛里/安东尼雷派克/罗伯特·泰勒/阿达·尼科德莫/罗温·维特/塔玛拉·布朗/纳塔莉·特珍/比尔·扬/克里斯·斯科特/纳许·埃哲顿,动作/科幻,美国,英语,1999-03-31(美国),136分钟,22世纪杀人网络(港)/廿二世纪杀人网络(港)/骇客任务(台)/骇客帝国,tt0133093,9.1,706107,"$171,479,930","$294,884,915","$466,364,845"
海蒂和爷爷 Heidi,阿兰·葛斯彭纳,约翰娜·施皮里/佩特拉·比翁迪娜·沃尔普,阿努克·斯特芬/布鲁诺·冈茨/昆林·艾格匹/安娜·申茨/伊莎贝尔·奥特曼/莉莲·奈福/彼得·杰克林/克里斯托夫·高格勒/丽贝卡·因德穆/莫妮卡·古布瑟/阿瑟·比勒/玛丽埃塔·耶米/彼得·洛迈尔/卡塔琳娜·舒特勒/杰拉·哈斯/迈克尔·克兰茨/劳拉·帕克/马库斯·赫林/马克西姆·梅米特/汉娜洛蕾·赫格,剧情/家庭/冒险,德国/瑞士,南非语/德语/瑞士德语,2019-05-16(中国大陆)/2015-12-10(德国),111分钟,飘零燕(港)/海蒂/阿尔卑斯山少女海蒂,tt3700392,9.3,426023,None,"$38,755,161","$38,755,161"
搏击俱乐部 Fight Club,大卫·芬奇,恰克·帕拉尼克/吉姆·乌尔斯,爱德华·诺顿/布拉德·皮特/海伦娜·伯翰·卡特/扎克·格雷尼尔/米特·洛夫/杰瑞德·莱托/艾恩·贝利/里奇蒙德·阿奎特/乔治·马奎尔,剧情/动作/悬疑/惊悚,美国/德国/意大利,英语,1999-09-10(威尼斯电影节)/1999-10-15(美国),139分钟,搏击会(港)/斗阵俱乐部(台)/格斗俱乐部,tt0137523,9.0,731315,"$37,030,102","$64,179,600","$101,209,702"
绿皮书 Green Book,彼得·法雷里,尼克·瓦莱隆加/布莱恩·库瑞/彼得·法雷里,维果·莫腾森/马赫沙拉·阿里/琳达·卡德里尼/塞巴斯蒂安·马尼斯科/迪米特·D·马里诺夫/迈克·哈顿/P·J·伯恩/乔·柯蒂斯/玛姬·尼克松/冯·刘易斯/乔恩·索特兰/唐·斯达克/安东尼·曼加诺/保罗·斯隆/珍娜·劳伦索/肯尼斯·以色列/伊克博·塞巴/尼克·瓦莱隆加/大卫·安/迈克·切罗内/杰拉尔丁·辛格/马丁·巴特斯·布拉德福德/格拉伦·布莱恩特·班克斯/汤姆·维图/夏恩·帕特洛/丹尼斯·W·霍尔/吉姆·克洛克/戴恩·罗兹/布赖恩·斯特帕尼克/乔恩·迈克尔·戴维斯/布莱恩·库瑞/托尼亚·马尔多纳多,剧情/喜剧/音乐/传记,美国/中国大陆,英语/意大利语/俄语/德语,2019-03-01(中国大陆)/2018-09-11(多伦多电影节)/2018-11-16(美国),130分钟,绿簿旅友(港)/幸福绿皮书(台)/绿书,tt6966692,8.9,1358617,"$85,080,171","$236,672,485","$321,752,656"
饮食男女 飲食男女,李安,李安/王蕙玲/詹姆斯·夏慕斯,郎雄/杨贵媚/吴倩莲/王渝文/张艾嘉/归亚蕾/赵文瑄/陈昭荣/陈捷文/卢金城/唐语谦/洪其德/王瑞/杜满生/王玨/陈妤/左正芬/许敬民/聂卓晶/丁仲,剧情/家庭,中国台湾/美国,汉语普通话/闽南语/湖南话,1994-08-03(美国),124分钟,EatDrinkManWoman,tt0111797,9.1,516547,"$7,294,403",None,"$7,294,403"
美丽心灵 A Beautiful Mind,朗·霍华德,阿齐瓦·高斯曼/西尔维娅·纳萨尔,罗素·克劳/艾德·哈里斯/詹妮弗·康纳利/克里斯托弗·普卢默/保罗·贝坦尼/亚当·戈德堡/乔什·卢卡斯/安东尼·拉普/贾森·加里-斯坦福德/贾德·赫希/奥斯汀·潘德尔顿/薇薇·卡登尼/吉莉·西蒙/维克多·斯坦巴赫/坦娅·克拉克/罗伊·辛尼斯/谢丽尔·霍华德/兰斯·霍华德/简·詹金斯/乔什·帕斯/瓦伦蒂娜·卡迪纳利/蒂格尔·F·伯格里/迈克尔·埃斯佩尔/艾米·瓦尔兹/小艾德.朱普/卡拉·奥奇格罗索/斯特里奥·萨万特/迈克尔·阿伯特/雷吉·奥斯汀/凯德·比特纳/理查·布莱恩特/丹·陈/乔纳·福尔肯/法布里奇奥·范特/斯科特·费恩斯特罗姆/迈克尔·菲奥里/塞斯·盖贝尔/埃文·哈特/杰森·霍顿/布莱丝·达拉斯·霍华德/朗·霍华德/多里·曼佐尔/罗伯特·迈尔斯/里德·彭尼/米尔斯·彼埃尔/肖恩·里德,剧情/传记,美国,英语,2001-12-13(加州首映)/2002-01-04(美国),135分钟,有你终生美丽(港)/美丽境界(台)/完美大脑,tt0268978,9.0,657683,"$170,742,341","$146,048,916","$316,791,257"
窃听风暴 Das Leben der Anderen,弗洛里安·亨克尔·冯·多纳斯马尔克,弗洛里安·亨克尔·冯·多纳斯马尔克,乌尔里希·穆埃/马蒂娜·格德克/塞巴斯蒂安·科赫/乌尔里希·图库尔/托马斯·蒂梅/汉斯-尤韦·鲍尔/沃克马·克莱纳特/马提亚斯·布伦纳/查理·哈纳/赫伯特·克瑙普/巴斯蒂安·特罗斯特/玛丽·格鲁伯/维尔纳·德恩/马丁·布拉姆马赫/托马斯·阿诺德/辛纳克·勋纳曼/路德韦格·布洛克伯格/迈克尔·格伯/吉塔·施维赫夫/希尔德加德·斯罗德/伊嘉·比肯费尔德/凯·伊沃·保利兹/克劳斯·芒斯特,剧情/悬疑,德国,德语,2006-03-23(德国),137分钟,窃听者(港)/他人的生活/别人的生活/别样人生/TheLivesofOthers,tt0405094,9.2,484036,"$11,286,112","$66,070,830","$77,356,942"
本杰明·巴顿奇事 The Curious Case of Benjamin Button,大卫·芬奇,艾瑞克·罗斯/罗宾·史威考德/F·司各特·菲茨杰拉德,凯特·布兰切特/布拉德·皮特/朱莉娅·奥蒙德/芳妮·A·钱勃丝/伊莱亚斯·科泰斯/杰森·弗莱明/大卫·詹森/蒂尔达·斯文顿/艾丽·范宁/乔安娜·塞勒/乔什·斯图沃特/丹尼·文森/塔拉吉·P·汉森/马赫沙拉·阿里/菲奥娜·黑尔/唐娜·杜普兰提尔/兰斯·E·尼克尔斯/特德·曼森/克莱·卡伦/菲利斯·萨莫维尔/杰瑞德·哈里斯/麦迪逊·贝蒂/汤姆·埃沃雷特/克里斯托弗·马克斯韦尔/伊利亚·沃里克,剧情/爱情/奇幻,美国,英语/俄语/法语,2008-12-25(美国),166分钟,奇幻逆缘(港)/班杰明的奇幻旅程(台)/返老还童,tt0421715,8.9,849747,"$127,509,326","$208,293,460","$335,802,786"
"两杆大烟枪 Lock, Stock and Two Smoking Barrels",盖·里奇,盖·里奇,杰森·弗莱明/德克斯特·弗莱彻/尼克·莫兰/杰森·斯坦森/斯蒂文·麦金托什/斯汀/维尼·琼斯,剧情/喜剧/犯罪,英国,英语,1998-08-28(英国),107分钟/115分钟(导演剪辑版),够姜四小强(港)/两根枪管(台)/两只老烟枪/魔高一丈/两杆老烟枪,tt0120735,9.1,520649,"$3,753,929",None,"$3,753,929"
情书 Love Letter,岩井俊二,岩井俊二,中山美穗/丰川悦司/酒井美纪/柏原崇/范文雀/篠原胜之/铃木庆一/田口智朗/加贺麻理子/光石研/铃木兰兰/盐见三省/中村久美/梅田凡乃/长田江身子/小栗香织/神户浩/酒井敏也/山口诗史/山崎一/德井优/武藤寿美,剧情/爱情,日本,日语,1999-03(中国大陆)/2021-05-20(中国大陆重映)/1995-03-25(日本),117分钟,WhenICloseMyEyes/LettersofLove,tt0113703,8.9,896745,None,"$7,854,754","$7,854,754"
穿条纹睡衣的男孩 The Boy in the Striped Pajamas,马克·赫尔曼,约翰·伯恩/马克·赫尔曼,阿萨·巴特菲尔德/维拉·法米加/卡拉·霍根/祖萨·霍尔/安贝尔·比蒂/拉斯洛·阿隆/大卫·休里斯/理查德·约翰逊/谢拉·汉考克/伊凡·弗雷贝利/贝拉·费斯彼姆/阿提拉·埃杰德/鲁伯特·弗兰德/大卫·海曼/吉姆·诺顿/杰克·塞隆/米哈利·绍鲍多什/泽索特·萨法尔·科夫卡/奥索利亚·茱莉娅·帕普,剧情/战争,英国/美国,英语/西班牙语,2008-09-12(英国)/2008-11-07(美国),94分钟,穿条纹衣服的男孩/穿条纹衣的男孩,tt0914798,9.1,457336,"$9,046,156","$31,370,407","$40,416,563"
西西里的美丽传说 Malèna,朱塞佩·托纳多雷,朱塞佩·托纳多雷/卢恰诺·温琴佐尼,莫妮卡·贝鲁奇/朱塞佩·苏尔法罗/LucianoFederico/玛蒂尔德·皮亚纳/PietroNotarianni/GaetanoAronica/GilbertoIdonea/AngeloPellegrino/GabriellaDiLuzio/PippoProvvidenti/埃丽萨·莫鲁奇/奥罗拉·夸特罗基/露琪亚·萨多/瓦尼·布拉马蒂/SalvatoreMartino/安东内洛·普利西/NoamMorgensztern,剧情/情色/战争,意大利/美国,意大利语/英语/拉丁语/古希腊语,2000-10-27(意大利),109分钟/USA,真爱伴我行(台)/玛莲娜/玛琳娜,tt0213847,8.9,842180,"$3,448,233","$11,045,051","$14,493,284"
看不见的客人 Contratiempo,奥里奥尔·保罗,奥里奥尔·保罗,马里奥·卡萨斯/阿娜·瓦格纳/何塞·科罗纳多/巴巴拉·莱涅/弗兰塞斯克·奥雷利亚/帕科·图斯/大卫·塞尔瓦斯/伊尼戈·加斯特西/圣·耶拉莫斯/马内尔·杜维索/布兰卡·马丁内斯/佩雷·布拉索/霍尔迪·布鲁内特/鲍比·冈萨雷斯/玛蒂娜·乌尔塔多,剧情/悬疑/惊悚/犯罪,西班牙,西班牙语,2017-09-15(中国大陆)/2016-09-23(奇幻电影节)/2017-01-06(西班牙),106分钟,死无对证(港)/布局(台)/TheInvisibleGuest,tt4857264,8.8,1059391,None,"$31,191,910","$31,191,910"
